"Date","Price","Open","High","Low","Vol.","Change %"
"15/08/2022","5,083.47","5,092.01","5,095.46","5,055.18","73.44M","0.25%"
"12/08/2022","5,070.82","5,071.72","5,096.55","5,060.81","91.54M","0.09%"
"11/08/2022","5,066.28","5,078.78","5,080.99","5,035.29","96.09M","0.29%"
"10/08/2022","5,051.38","5,003.04","5,066.42","4,991.24","113.90M","0.61%"
"09/08/2022","5,020.58","5,040.11","5,051.10","5,012.33","100.19M","-0.54%"
"08/08/2022","5,047.65","5,035.58","5,077.25","5,030.15","96.58M","0.81%"
"05/08/2022","5,006.87","5,039.31","5,046.91","4,989.44","120.70M","-0.65%"
"04/08/2022","5,039.55","5,022.87","5,072.84","5,022.23","133.35M","0.59%"
"03/08/2022","5,009.78","4,956.21","5,012.26","4,952.46","135.06M","0.99%"
"02/08/2022","4,960.73","4,972.53","4,974.24","4,939.58","113.67M","-0.45%"
"01/08/2022","4,982.95","4,991.03","5,017.61","4,980.70","124.18M","-0.17%"
"29/07/2022","4,991.62","4,957.24","5,009.75","4,956.95","197.81M","1.69%"
"28/07/2022","4,908.50","4,881.56","4,908.50","4,833.98","152.22M","1.26%"
"27/07/2022","4,847.62","4,807.87","4,855.03","4,803.19","126.82M","0.81%"
"26/07/2022","4,808.52","4,820.11","4,834.53","4,795.91","112.26M","-0.44%"
"25/07/2022","4,829.80","4,805.58","4,848.83","4,787.46","106.55M","0.21%"
"22/07/2022","4,819.59","4,785.91","4,842.48","4,782.19","109.87M","0.30%"
"21/07/2022","4,805.17","4,790.76","4,829.82","4,762.93","126.60M","0.24%"
"20/07/2022","4,793.69","4,824.84","4,838.12","4,767.42","124.31M","-0.23%"
"19/07/2022","4,804.78","4,698.34","4,813.82","4,674.93","157.63M","1.81%"
"18/07/2022","4,719.35","4,695.45","4,751.79","4,695.45","98.45M","0.95%"
"15/07/2022","4,674.77","4,585.69","4,679.95","4,571.97","128.76M","2.03%"
"14/07/2022","4,581.56","4,631.74","4,645.32","4,551.33","113.16M","-1.41%"
"13/07/2022","4,646.88","4,661.31","4,665.64","4,589.29","114.02M","-0.70%"
"12/07/2022","4,679.81","4,615.07","4,686.36","4,592.41","132.55M","0.79%"
"11/07/2022","4,643.04","4,591.51","4,653.42","4,580.39","104.00M","-0.69%"
"08/07/2022","4,675.39","4,648.97","4,688.99","4,612.87","145.31M","0.58%"
"07/07/2022","4,648.50","4,625.54","4,660.28","4,613.00","157.28M","1.71%"
"06/07/2022","4,570.49","4,541.06","4,580.95","4,517.29","173.71M","1.96%"
"05/07/2022","4,482.66","4,624.37","4,626.31","4,477.23","171.84M","-2.65%"
"04/07/2022","4,604.78","4,628.95","4,640.78","4,596.84","100.20M","0.34%"
"01/07/2022","4,589.04","4,543.83","4,622.61","4,529.85","135.64M","0.19%"
"30/06/2022","4,580.48","4,587.78","4,591.30","4,526.92","193.71M","-1.85%"
"29/06/2022","4,666.67","4,665.92","4,700.78","4,639.58","123.98M","-1.04%"
"28/06/2022","4,715.64","4,724.64","4,758.50","4,710.13","121.55M","0.66%"
"27/06/2022","4,684.91","4,727.24","4,764.48","4,670.34","116.24M","-0.34%"
